online,IN League Season 1,2013-03-06,1063
other,ESL Pro Series Germany Summer Season 2013,2013-09-07,1156
other,Gamermag Open #1,2014-03-23,1336
online,ESL Pro Series Germany Winter 2013 Cup #3,2013-10-21,1246
other,ESEA Invite Season 17 Europe,2014-10-06,1428
other,The Nordic Games #2 Norwegian qualifier,2013-02-17,1064
other,FMR LAN Cup #8,2013-06-23,1157
online,FACEIT March Championship 2014,2014-03-27,1337
online,ESL Pro Series France XI Cup #5,2013-10-25,1247
online,Caseking of the Hill #2,2014-07-23,1429
other,ESL Pro Series Spain XI,2014-01-12,1158
other,Voronezh Cup Qualifier #3,2014-03-30,1338
online,ESL Pro Series Germany Winter 2013 Cup #4,2013-10-28,1248
online,The Nordic Games #2 Swedish qualifier,2013-02-18,1066
other,ESL One Cologne 2014 Open pre-qualifier,2014-07-24,1430
other,ESWC 2013,2013-11-03,1249
other,ESL UK Community Challenge S2 Cup #1,2014-07-22,1431
other,Mad Catz Vienna,2013-02-25,1067
other,SLTV ProSeries VI,2013-07-03,1160
other,Voronezh Cup Qualifier #4,2014-04-06,1340
other,ESWC 2013 France,2013-10-30,1250
online,ESL One Cologne 2014 European Finals,2014-07-28,1432
online,ESL Pro Series Germany Spring Season 2013,2013-05-11,1068
online,ESL Pro Series Germany Spring 2014,2014-05-10,1341
online,TECHLABS Cup Minsk Rematch,2013-10-30,1251
other,Team Dignitas SCAN CS:GO UK Invitational,2014-07-28,1433
other,FACEIT Cup June 2013,2013-07-03,1162
online,ESWC 2012 Nordic Qualifier,2012-10-11,981
other,The Nordic Games #2 Danish qualifier,2013-02-20,1069
other,Gaming.dk League by SteelSeries Season 8 Finals,2014-04-12,1342
other,ESWC 2013 Female,2013-11-02,1252
other,SLTV StarSeries VI Finals,2013-07-07,1163
online,RaidCall EMS One Spring 2013 Cup #2,2013-02-21,1070
other,Voronezh Cup 2014,2014-04-13,1343
online,ESL Pro Series Germany Winter Season 2012,2012-12-08,982
other,ESL One Cologne 2014 Indian qualifier,2014-07-27,1435
online,ESL Pro Series Germany Winter 2013 Cup #5,2013-11-04,1253
other,Prague Challenge,2013-07-15,1164
other,Vox Play #1,2014-04-13,1344
online,CyberGamer Showmatch,2012-10-02,983
other,FACEIT North American Championship,2014-07-28,1436
other,Fragbite Masters Qualifier #1,2013-11-06,1254
other,Assembly Winter 2013,2013-02-23,1072
other,DreamHack Valencia 2013,2013-07-21,1165
other,EMS Winter 2012 Portuguese Qualifier,2012-10-03,984
other,Copenhagen Games 2014,2014-04-19,1345
other,ESEA Intermediate Season 15 Europe,2014-01-31,1255
other,Gfinity 3,2014-08-03,1437
other,Mad Catz Invitational,2013-08-20,1166
other,ESWC 2012 France Pre-Qual. #3,2012-10-03,985
other,ESEA Invite Season 16 North America,2014-05-13,1346
other,Fragbite Masters Qualifier #2,2013-11-08,1256
other,ASUS ROG Summer 2014,2014-08-02,1438
online,ESWC 2012 German Qualifier,2012-10-16,986
other,Copenhagen Games 2014 female,2014-04-19,1347
other,ESL UK Community Challenge S2 Cup #2,2014-07-30,1439
online,SLTV StarSeries VIII,2013-12-10,1257
online,RaidCall EMS One Spring 2013 Cup #3,2013-03-01,1075
other,Mad Catz Qualifier,2013-07-31,1168
other,Insomnia 51,2014-04-20,1348
online,Caseking of the Hill #3,2014-07-31,1440
other,Belgrade Gaming Festival 2013,2013-11-10,1258
online,The Nordic Games #2,2013-02-28,1076
online,ESWC 2012 UK Qualifier,2012-10-12,988
online,EIZO Challenge 2014,2014-07-31,1441
online,1Life Fraglider Invitational,2014-04-27,1349
other,coL 10th Anniversary,2013-11-12,1259
other,Telkom Do Gaming Insta-Clash Cup November 2013,2013-11-17,1260
online,FACEIT Cup July 2013,2013-08-09,1171
other,ESL Pro Series Spain X,2013-03-24,1078
online,ESL Pro Series Poland Season 5,2012-12-02,990
online,E-sport-bets.com 3rd Anniversary Cup,2014-04-27,1351
online,ESL Pro Series Germany Summer 2014,2014-08-05,1443
online,FACEIT Cup October 2013,2013-11-14,1261
other,Areena #3 by SteelSeries,2013-08-10,1172
online,Svecup Norrköping Qualifier #1 ,2013-03-09,1079
major,ESL One Cologne 2014,2014-08-17,1444
other,Newmen 5Eplay ESports Masters,2014-04-30,1352
other,Fragbite Masters Qualifier #3,2013-11-14,1262
other,Razer CS:GO Challenge,2013-03-10,1080
online,SLTV StarSeries VII Qualifier,2013-08-11,1173
online,Go4CS:GO Cup #14,2012-10-09,992
online,eSportsventure Cup,2014-04-29,1353
other,ESL UK Community Challenge S2 Cup #3,2014-08-05,1445
other,ESL Pro Series France XI Cup #7,2013-11-14,1263
other,EIZO QPAD eSport FEVER #1,2013-03-10,1081
other,ESEA Invite Season 14 Global Finals,2013-08-18,1174
other,PGS 2012 CS:GO,2012-10-14,993
online,Caseking of the Hill #4,2014-08-06,1446
other,Fragbite Masters Qualifier #4,2013-11-15,1264
other,FACEIT Spring League Open Qualifier,2014-04-28,1354
online,RaidCall EMS One Spring 2013 Cup #4,2013-03-14,1082
other,TECHLABS Cup 2013 Grand Final,2013-11-17,1265
online,SLTV ProSeries IX,2014-05-05,1355
online,SLTV StarSeries VII,2013-10-04,1175
online,FACEIT League 2 EU pre-qualifier #2,2014-08-10,1448
other,ESEA Open Season 13 Playoffs,2013-04-22,1083
other,FACEIT Spring League Closed Qualifier,2014-04-29,1356
other,MSI Beat it! 2013 EU Open Qualifier #1,2013-08-21,1176
online,Fragbite Masters 2013,2013-12-14,1266
online,European Championship 2014 Qualification Round 1,2014-08-19,1449
other,Brasil Gaming League,2013-03-14,1084
online,MSI Beat it! 2013 EU Open Qualifier #2,2013-08-22,1177
online,FACEIT Spring League 2014,2014-06-01,1357
other,DreamHack Winter 2013 FACEIT Online Qual.,2013-11-21,1267
other,FACEIT Saturday Spring Cup #1,2013-03-16,1085
other,ESL UK Community Challenge S2 Cup #4,2014-08-13,1450
online,MSI Beat it! 2013 EU Open Qualifier #3,2013-08-23,1178
other,SLTV StarSeries IX Finals,2014-05-04,1358
other,MSI Beat it! 2013 SEA Qualifier,2013-11-22,1268
online,CyberGamer Invite League Season 1,2012-11-19,998
online,Publiclir.se - 5on5 CS:GO by Qpad,2013-03-17,1086
other,ESL UK Community Challenge S2 Cup #5,2014-08-19,1451
online,MSI Beat it! 2013 EU Open Qualifier #4,2013-08-24,1179
other,ESPORTSM 2013/2014 - Qualifier #6 Stockholm,2014-05-03,1359
other,MSI Beat it! 2013 Grand Finals,2013-11-24,1269
online,SLTV ProSeries X,2014-08-24,1456
online,MSI Beat it! 2013 EU Shootout,2013-08-24,1180
online,Hitbox Arena Championship 2,2014-08-28,1452
online,RaidCall EMS One Spring 2013 Group Stage,2013-04-03,1087
other,SoCal Revival #2,2014-05-05,1360
major,DreamHack Winter 2013,2013-12-01,1270
online,FACEIT League 2 EU pre-qualifier #3,2014-08-23,1457
other,ESL UK Community Challenge S1 Cup #1,2014-05-07,1361
online,European Championship 2014 Qualification Round 2,2014-08-29,1453
other,TECHLABS Cup 2013,2013-03-23,1088
online,MSI Beat it! 2013 European Finals,2013-10-04,1181
other,ESL Pro Series Germany Winter Season 2013,2013-12-14,1271
other,Millenium Showmatch #3,2014-11-18,1547
other,Insomnia 52,2014-08-24,1458
other,GeForce GTX AllStar Tournament,2015-01-24,1638
other,Go4CS:GO Cup #58,2013-08-25,1182
local-lan,CyberGamer Premier League Season 1,2013-03-24,1089
online,Hitbox Arena Championship,2014-06-04,1362
online,Caseking of the Hill #5,2014-08-22,1454
other,DreamHack Winter 2013 BYOC,2013-11-29,1272
online,BenQ All-Star Showmatch #2,2014-11-17,1548
online,FACEIT League 2 EU pre-qualifier #4,2014-08-24,1459
other,FACEIT League 2015 NA Closed Qualifier,2015-01-28,1639
online,RGN Pro Series EU Closed Qualifier,2015-05-19,1729
other,Insomnia 48,2013-03-24,1090
other,Insomnia 50,2013-12-02,1273
other,ESL One Katowice 2015 European Qualifier #1,2015-01-28,1640
other,HyperX CS:GO Clash,2015-06-20,1820
online,Fragbite Masters Season 4 Qualifier #2,2015-04-22,1730
other,ESL UK Community Challenge S1 Cup #2,2014-05-14,1364
online,SLTV ProSeries V,2013-03-25,1091
online,AlienTech CS:GO European Cup I,2015-09-17,1911
other,CS:GO AOC UK Challenge Winter Finals 2014/15,2015-01-28,1641
other,CS Select #8,2015-04-24,1731
